
Command run at 2023-07-25 08:13:58.633190-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: setupserver, Command Content: n!setupserver

Command run at 2023-07-25 08:14:26.783347-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: authuser, Command Content: n!authuser 858404054249242625

Command run at 2023-07-25 08:15:35.789842-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: authuser, Command Content: n!authuser 858649812416462879

Command run at 2023-07-25 08:18:11.618984-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: authuser, Command Content: n!authuser 858649812416462879

Command run at 2023-07-25 08:18:58.308472-04:00, by jawarrior (User ID: 930284432634556496), in server New Light Development Server (Server ID: 1031900634741473280). Command Run: authus, Command Content: n!authus 1122964426472034415 858649812416462879

Command run at 2023-07-25 08:19:47.617100-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: authuser, Command Content: n!authuser 858649812416462879

Command run at 2023-07-25 08:21:33.072900-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: defaultbal, Command Content: n!defaultbal flux;rubber;iron;explo

Command run at 2023-07-25 08:21:46.875895-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: addmember, Command Content: n!addmember <@858404054249242625>

Command run at 2023-07-25 08:22:07.112705-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: addmember, Command Content: n!addmember <@1068211603494932560>

Command run at 2023-07-25 08:22:29.825311-04:00, by ahmad_pro (User ID: 858404054249242625), in server The Merge (Server ID: 1122964426472034415). Command Run: logloot, Command Content: n!logloot <@858404054249242625>  flux 1000

Command run at 2023-07-25 08:23:16.761471-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: addmember, Command Content: n!addmember <@858649812416462879>

Command run at 2023-07-25 08:28:23.109797-04:00, by jawarrior (User ID: 930284432634556496), in server New Light Development Server (Server ID: 1031900634741473280). Command Run: metrics, Command Content: n!metrics cmdcnt

Command run at 2023-07-25 08:59:30.184865-04:00, by ahmad_pro (User ID: 858404054249242625), in server The Merge (Server ID: 1122964426472034415). Command Run: balance, Command Content: n!balance <@1068211603494932560>

Command run at 2023-07-25 09:00:42.061861-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: logloot, Command Content: n!logloot <@858404054249242625>  flux -1500

Command run at 2023-07-25 09:00:52.582521-04:00, by joker1100 (User ID: 858649812416462879), in server The Merge (Server ID: 1122964426472034415). Command Run: balance, Command Content: n!balance <@858404054249242625>

Command run at 2023-07-25 10:11:28.342252-04:00, by jawarrior (User ID: 930284432634556496), in server New Light Development Server (Server ID: 1031900634741473280). Command Run: metrics, Command Content: n!metrics cmdcnt

Command run at 2023-07-25 10:42:55.104633-04:00, by jawarrior (User ID: 930284432634556496), in server New Light Development Server (Server ID: 1031900634741473280). Command Run: metrics, Command Content: n!metrics cmdcnt

